0	1	Haunting_Occurred
-84.03716589999998	41.897547100000004	1970-01-01
-84.7530304	42.243097	1835-03-07
-85.62292959999998	43.1492928	1800-01-01
-82.531018	42.6183675	1800-01-01
-85.8553031	42.5291989	1868-03-07
-85.8553031	42.5291989	2007-03-07
-83.7430378	42.2808256	1994-03-07
-88.4773517	46.810209500000006	1800-01-01
-84.14389270000001	45.00473059999999	2008-03-07
-83.17631449999998	42.3222599	2001-03-07
-83.21131919999998	42.5467012	1920-03-07
-83.2827093	42.579310299999996	2003-10-07
-83.2827093	42.579310299999996	2005-08-07
-84.4749978	43.4080849	1994-03-07
-83.88163639999998	43.3594696	1973-01-01
-84.6920059	46.3740542	1600-01-01
-88.45400599999998	47.24659219999999	1903-03-07
-83.48211599999998	42.3086444	2003-11-07
-83.48211599999998	42.3086444	1994-03-07
-83.17466929999998	43.600851500000005	1800-01-01
-85.2645105	45.070004700000005	1924-03-07
-85.25840040000001	45.318063200000005	1969-03-07
-84.83582109999998	42.56364779999999	1923-03-07
-84.4744795	45.64695630000001	2007-01-07
-84.11497469999998	43.184748299999995	1985-03-07
-83.4192941	42.7351196	1800-03-07
-82.9195514	42.586888200000004	1800-01-01
-82.9195514	42.586888200000004	2005-01-01
-82.9195514	42.586888200000004	1800-01-01
-85.62292959999998	43.4194319	1970-01-01
-88.3340242	46.0980066	1800-01-01
-83.5180063	43.034749100000006	2006-12-07
-83.17631449999998	42.3222599	1969-03-07
-83.17631449999998	42.3222599	1983-03-07
-83.17631449999998	42.3222599	2020-03-07
-83.27326269999998	42.3369816	1992-01-01
-83.27326269999998	42.3369816	2002-03-07
-83.27326269999998	42.3369816	2012-01-01
-85.97445689999998	42.1080979	2004-03-07
-83.0457538	42.331427000000005	2007-03-07
-83.0457538	42.331427000000005	1912-03-07
-83.0457538	42.331427000000005	1944-03-07
-83.0457538	42.331427000000005	1915-03-07
-83.0457538	42.331427000000005	1926-03-07
-83.0457538	42.331427000000005	2007-01-07
-84.48386540000001	42.7369792	1855-03-07
-84.48386540000001	42.7369792	1855-03-07
-84.48386540000001	42.7369792	1855-03-07
-84.48386540000001	42.7369792	1975-03-07
-84.48386540000001	42.7369792	1855-03-07
-84.48386540000001	42.7369792	1855-03-07
-84.48386540000001	42.7369792	1855-03-07
-84.48386540000001	42.7369792	1855-03-07
-85.21748620000001	42.1661559	1920-01-01
-82.95547459999999	42.4683698	1946-03-07
-86.29973869999998	41.9850452	2020-03-07
-85.25809709999999	43.900575200000006	1800-01-01
-85.3227948	42.982253299999996	1800-01-01
-83.3677168	42.4989936	2007-04-07
-83.70494980000001	42.797806099999995	1980-03-07
-83.29187440000001	42.0964314	1953-03-07
-83.7380194	43.331691	2005-03-07
-85.94200129999999	43.4675173	1962-03-07
-83.3310422	42.325592799999995	1800-01-01
-83.3310422	42.325592799999995	1984-03-07
-83.3310422	42.325592799999995	2010-03-07
-83.6135572	43.09351470000001	2020-03-07
-86.22838639999998	43.0630734	1995-03-07
-86.22838639999998	43.0630734	1857-03-07
-85.6680863	42.9633599	1981-03-07
-85.6680863	42.9633599	1996-03-07
-85.6680863	42.9633599	2020-03-07
-85.6680863	42.9633599	2020-03-07
-85.6680863	42.9633599	1925-03-07
-85.6680863	42.9633599	1886-03-07
-85.6680863	42.9633599	1970-03-07
-85.6680863	42.9633599	1980-01-01
-85.7630885	42.9097484	1800-01-01
-84.7147512	44.661403899999996	1900-03-07
-85.25279870000001	43.1775314	2008-03-07
-85.25279870000001	43.1775314	2002-01-01
-83.14459040000001	42.1290753	2008-06-07
-83.14459040000001	42.1290753	1812-03-07
-82.87685859999998	42.4367034	2021-06-25
-82.90686029999998	42.443647799999994	2016-03-07
-86.012069	45.993032899999996	2005-05-07
-85.9987285	42.671257000000004	1909-03-07
-88.5809563	47.1268714	1995-01-01
-85.29084030000001	42.6458682	2020-03-07
-84.7994675	44.0191862	1960-01-01
-83.61756770000001	42.63800139999999	2007-10-07
-86.1089301	42.7875235	1890-03-07
-84.5152545	42.6405912	1900-03-07
-84.5152545	42.6405912	1980-01-01
-84.76474959999999	44.314739	2008-03-07
-83.9293952	42.607255200000004	2004-02-07
-83.30993029999998	42.2942045	1866-01-06
-85.7676077	44.64537379999999	1920-01-01
-88.64235440000002	46.09273220000001	2020-03-07
-84.40134619999998	42.245869	2007-01-07
-85.5872286	42.291706899999994	2007-03-07
-85.52002399999998	43.0097027	1980-01-01
-85.64474919999998	42.8694731	1971-03-07
-85.3731257	44.92861370000001	1932-03-07
-83.23966120000001	42.7844752	2008-06-07
-83.624201	41.75290880000001	1957-03-07
-84.55553470000001	42.732535	1880-01-01
-83.17853609999999	42.250594299999996	1980-01-01
-83.35270969999998	42.36837	1970-01-01
-83.35270969999998	42.36837	1854-03-07
-85.34196089999998	42.933642600000006	2008-05-07
-85.513329	46.582751200000004	1848-01-01
-83.442433	41.8069907	2005-01-01
-82.92864279999998	42.6651965	1929-03-07
-84.6189339	45.84917960000001	1895-03-07
-84.6189339	45.84917960000001	1800-01-01
-84.6189339	45.84917960000001	2008-05-07
-84.6189339	45.84917960000001	1822-03-07
-84.6189339	45.84917960000001	1925-01-01
-86.324253	44.2444473	1902-03-07
-82.0371761	45.7026471	1812-03-07
-82.492132	42.7194778	2003-03-07
-87.39559539999998	46.547582500000004	1930-03-07
-87.39559539999998	46.547582500000004	1899-03-07
-87.39559539999998	46.547582500000004	1899-03-07
-87.39559539999998	46.547582500000004	1899-03-07
-87.39559539999998	46.547582500000004	1899-03-07
-87.39559539999998	46.547582500000004	1899-03-07
