city_longitude,city_latitude,Haunting_Occurred
"-83.17631449999999",42.3222599,2025-01-01T00:00:00Z
"-83.17631449999999",42.3222599,2020-03-07T00:00:00Z
"-83.27326269999999",42.3369816,1992-01-01T00:00:00Z
"-83.27326269999999",42.3369816,2025-01-01T00:00:00Z
"-83.27326269999999",42.3369816,2025-01-01T00:00:00Z
"-83.27326269999999",42.3369816,2025-01-01T00:00:00Z
"-83.27326269999999",42.3369816,2025-01-01T00:00:00Z
"-83.27326269999999",42.3369816,2002-03-07T00:00:00Z
"-83.27326269999999",42.3369816,2012-01-01T00:00:00Z
"-85.97445689999999",42.1080979,2004-03-07T00:00:00Z
"-83.0457538",42.331427,2025-01-01T00:00:00Z
"-83.0457538",42.331427,2025-01-01T00:00:00Z
"-83.0457538",42.331427,2025-01-01T00:00:00Z
"-83.0457538",42.331427,2007-03-07T00:00:00Z
"-83.0457538",42.331427,1912-03-07T00:00:00Z
"-83.0457538",42.331427,1944-03-07T00:00:00Z
"-83.0457538",42.331427,1915-03-07T00:00:00Z
"-83.0457538",42.331427,1926-03-07T00:00:00Z
"-83.0457538",42.331427,2025-01-01T00:00:00Z
"-83.0457538",42.331427,2025-01-01T00:00:00Z
"-83.0457538",42.331427,2025-01-01T00:00:00Z
"-83.0457538",42.331427,2025-01-01T00:00:00Z
"-83.0457538",42.331427,2025-01-01T00:00:00Z
"-83.0457538",42.331427,2007-01-07T00:00:00Z
"-83.0457538",42.331427,2025-01-01T00:00:00Z
"-83.8885552",42.33836970000001,2025-01-01T00:00:00Z
"-86.10862279999999",41.9842123,2025-01-01T00:00:00Z
"-86.10862279999999",41.9842123,2025-01-01T00:00:00Z
"-83.12382649999999",42.9461395,2025-01-01T00:00:00Z
"-86.1089301",42.7875235,2025-01-01T00:00:00Z
"-88.1623228",47.4582339,2025-01-01T00:00:00Z
"-84.48386540000001",42.7369792,2025-01-01T00:00:00Z
"-84.48386540000001",42.7369792,1855-03-07T00:00:00Z
"-84.48386540000001",42.7369792,1855-03-07T00:00:00Z
"-84.48386540000001",42.7369792,1855-03-07T00:00:00Z
"-84.48386540000001",42.7369792,1975-03-07T00:00:00Z
"-84.48386540000001",42.7369792,1855-03-07T00:00:00Z
"-84.48386540000001",42.7369792,1855-03-07T00:00:00Z
"-84.48386540000001",42.7369792,1855-03-07T00:00:00Z
"-84.48386540000001",42.7369792,1855-03-07T00:00:00Z
"-85.2174862",42.1661559,1920-01-01T00:00:00Z
"-82.9554746",42.4683698,2025-01-01T00:00:00Z
"-82.9554746",42.4683698,1946-03-07T00:00:00Z
"-86.29973869999999",41.9850452,2020-03-07T00:00:00Z
"-83.3670279",42.2822264,2025-01-01T00:00:00Z
"-85.2580971",43.9005752,1800-01-01T00:00:00Z
"-85.3227948",42.9822533,1800-01-01T00:00:00Z
"-83.3677168",42.4989936,2007-04-07T00:00:00Z
"-83.3677168",42.4989936,2025-01-01T00:00:00Z
"-83.7049498",42.7978061,1980-03-07T00:00:00Z
"-86.1017009",42.5939168,2025-01-01T00:00:00Z
"-86.1017009",42.5939168,2025-01-01T00:00:00Z
"-83.1346478",42.4605917,2025-01-01T00:00:00Z
"-85.3506136",44.5769496,2025-01-01T00:00:00Z
"-83.2918744",42.0964314,1953-03-07T00:00:00Z
"-83.6874562",43.0125274,2025-01-01T00:00:00Z
"-83.6874562",43.0125274,2025-01-01T00:00:00Z
"-83.6874562",43.0125274,2025-01-01T00:00:00Z
"-83.6874562",43.0125274,2025-01-01T00:00:00Z
"-83.6874562",43.0125274,2025-01-01T00:00:00Z
"-82.5693699",43.4991899,2025-01-01T00:00:00Z
"-82.5693699",43.4991899,2025-01-01T00:00:00Z
"-82.5693699",43.4991899,2025-01-01T00:00:00Z
"-82.6093707",43.6619638,2025-01-01T00:00:00Z
"-83.7380194",43.331691,2005-03-07T00:00:00Z
"-82.9493652",42.539202,2025-01-01T00:00:00Z
"-84.1227598",43.5250265,2025-01-01T00:00:00Z
"-84.1227598",43.5250265,2025-01-01T00:00:00Z
"-85.9420013",43.4675173,2025-01-01T00:00:00Z
"-85.9420013",43.4675173,1962-03-07T00:00:00Z
"-83.3310422",42.3255928,1800-01-01T00:00:00Z
"-83.3310422",42.3255928,2025-01-01T00:00:00Z
"-83.3310422",42.3255928,1984-03-07T00:00:00Z
"-83.3310422",42.3255928,2025-01-01T00:00:00Z
"-83.3310422",42.3255928,2010-03-07T00:00:00Z
"-83.3310422",42.3255928,2025-01-01T00:00:00Z
"-83.6135572",43.0935147,2020-03-07T00:00:00Z
"-87.02180489999999",45.8527435,2025-01-01T00:00:00Z
"-83.5063365",42.916972,2025-01-01T00:00:00Z
"-83.6299518",42.9275277,2025-01-01T00:00:00Z
"-83.6299518",42.9275277,2025-01-01T00:00:00Z
"-86.22838639999999",43.0630734,1995-03-07T00:00:00Z
"-86.22838639999999",43.0630734,1857-03-07T00:00:00Z
"-84.7463757",42.7533685,2025-01-01T00:00:00Z
"-85.6680863",42.9633599,2025-01-01T00:00:00Z
"-85.6680863",42.9633599,1981-03-07T00:00:00Z
"-85.6680863",42.9633599,2025-01-01T00:00:00Z
"-85.6680863",42.9633599,1996-03-07T00:00:00Z
"-85.6680863",42.9633599,2020-03-07T00:00:00Z
"-85.6680863",42.9633599,2020-03-07T00:00:00Z
"-85.6680863",42.9633599,1925-03-07T00:00:00Z
"-85.6680863",42.9633599,1886-03-07T00:00:00Z
"-85.6680863",42.9633599,2025-01-01T00:00:00Z
"-85.6680863",42.9633599,2025-01-01T00:00:00Z
"-85.6680863",42.9633599,1970-03-07T00:00:00Z
"-85.6680863",42.9633599,2025-01-01T00:00:00Z
"-85.6680863",42.9633599,2025-01-01T00:00:00Z
"-85.6680863",42.9633599,1980-01-01T00:00:00Z
"-85.52002399999999",44.687984,2025-01-01T00:00:00Z
"-85.7630885",42.9097484,1800-01-01T00:00:00Z
"-85.8108819",43.3361323,2025-01-01T00:00:00Z
"-84.7147512",44.6614039,2025-01-01T00:00:00Z
"-84.7147512",44.6614039,1900-03-07T00:00:00Z
"-85.2527987",43.1775314,2008-03-07T00:00:00Z
"-85.2527987",43.1775314,2025-01-01T00:00:00Z
"-85.2527987",43.1775314,2002-01-01T00:00:00Z
"-83.1445904",42.1290753,2008-06-07T00:00:00Z
"-83.1445904",42.1290753,1812-03-07T00:00:00Z
"-83.1445904",42.1290753,2025-01-01T00:00:00Z
"-82.87685859999999",42.4367034,2021-06-25T00:00:00Z
"-82.90686029999999",42.4436478,2016-03-07T00:00:00Z
"-86.012069",45.9930329,2005-05-07T00:00:00Z
"-85.9987285",42.671257,1909-03-07T00:00:00Z
"-88.5809563",47.1268714,1995-01-01T00:00:00Z
"-84.7994675",44.0191862,2025-01-01T00:00:00Z
"-86.1666876",42.2067051,2025-01-01T00:00:00Z
"-83.7507315",42.6315066,2025-01-01T00:00:00Z
"-85.29084030000001",42.6458682,2020-03-07T00:00:00Z
"-84.7994675",44.0191862,1960-01-01T00:00:00Z
"-84.7994675",44.0191862,2025-01-01T00:00:00Z
"-83.2946891",44.6564022,2025-01-01T00:00:00Z
"-83.7507315",42.6315066,2025-01-01T00:00:00Z
"-85.29084030000001",42.6458682,2025-01-01T00:00:00Z
"-83.6175677",42.6380014,2007-10-07T00:00:00Z
"-86.1089301",42.7875235,1890-03-07T00:00:00Z
"-83.6277255",42.7919727,2025-01-01T00:00:00Z
"-84.5152545",42.6405912,2025-01-01T00:00:00Z
"-84.5152545",42.6405912,1900-03-07T00:00:00Z
"-84.5152545",42.6405912,1980-01-01T00:00:00Z
"-84.7647496",44.314739,2008-03-07T00:00:00Z
"-83.9293952",42.6072552,2025-01-01T00:00:00Z
"-83.9293952",42.6072552,2004-02-07T00:00:00Z
"-83.30993029999999",42.2942045,1866-01-06T00:00:00Z
"-85.7676077",44.64537379999999,1920-01-01T00:00:00Z
"-85.07111739999999",42.9872547,2025-01-01T00:00:00Z
"-85.07111739999999",42.9872547,2025-01-01T00:00:00Z
"-88.6423544",46.0927322,2020-03-07T00:00:00Z
"-84.40134619999999",42.245869,2025-01-01T00:00:00Z
"-84.40134619999999",42.245869,2025-01-01T00:00:00Z
"-84.40134619999999",42.245869,2025-01-01T00:00:00Z
"-84.40134619999999",42.245869,2025-01-01T00:00:00Z
"-84.40134619999999",42.245869,2007-01-07T00:00:00Z
"-85.5872286",42.2917069,2007-03-07T00:00:00Z
"-85.5872286",42.2917069,2025-01-01T00:00:00Z
"-85.5872286",42.2917069,2025-01-01T00:00:00Z
"-85.5872286",42.2917069,2025-01-01T00:00:00Z
"-85.5872286",42.2917069,2025-01-01T00:00:00Z
"-83.3438247",42.6080884,2025-01-01T00:00:00Z
"-85.52002399999999",43.0097027,1980-01-01T00:00:00Z
"-85.52002399999999",43.0097027,2025-01-01T00:00:00Z
"-88.89402830000002",46.4854993,2025-01-01T00:00:00Z
"-85.64474919999999",42.8694731,1971-03-07T00:00:00Z
"-85.3731257",44.9286137,1932-03-07T00:00:00Z
"-88.0720706",45.7949561,2025-01-01T00:00:00Z
"-88.0720706",45.7949561,2025-01-01T00:00:00Z
"-83.2396612",42.7844752,2008-06-07T00:00:00Z
"-83.624201",41.75290880000001,1957-03-07T00:00:00Z
"-83.31883409999999",43.0514161,2025-01-01T00:00:00Z
"-84.5555347",42.732535,1880-01-01T00:00:00Z
"-83.1785361",42.2505943,1980-01-01T00:00:00Z
"-83.1785361",42.2505943,2025-01-01T00:00:00Z
"-83.35270969999999",42.36837,2025-01-01T00:00:00Z
"-83.35270969999999",42.36837,1970-01-01T00:00:00Z
"-83.35270969999999",42.36837,2025-01-01T00:00:00Z
"-83.35270969999999",42.36837,1854-03-07T00:00:00Z
"-83.35270969999999",42.36837,2025-01-01T00:00:00Z
